BACKPROPAGATION LEARNING ALGORITHM
Enter the number of input units:
2
Enter the number of hidden units:
2
Enter the number of output units:
1
Enter the learning rate:
0.9
Enter the maximum number of training epochs:
10000
Enter the SSE stopping criterion:
0.001
Enter the training set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Enter the testing set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Epoch 10:  SSE = 0.500062067211745.
Epoch 20:  SSE = 0.5000214988360911.
Epoch 30:  SSE = 0.5000173186862209.
Epoch 40:  SSE = 0.5000133439048384.
Epoch 50:  SSE = 0.5000095348364284.
Epoch 60:  SSE = 0.5000058690278835.
Epoch 70:  SSE = 0.5000023260573345.
Epoch 80:  SSE = 0.49999888723728236.
Epoch 90:  SSE = 0.4999955353621519.
Epoch 100:  SSE = 0.49999225448786405.
Epoch 110:  SSE = 0.49998902973804177.
Epoch 120:  SSE = 0.4999858471323604.
Epoch 130:  SSE = 0.499982693433243.
Epoch 140:  SSE = 0.4999795560076844.
Epoch 150:  SSE = 0.4999764227014386.
Epoch 160:  SSE = 0.49997328172318206.
Epoch 170:  SSE = 0.4999701215365537.
Epoch 180:  SSE = 0.4999669307582127.
Epoch 190:  SSE = 0.4999636980602321.
Epoch 200:  SSE = 0.4999604120752815.
Epoch 210:  SSE = 0.4999570613031502.
Epoch 220:  SSE = 0.49995363401722204.
Epoch 230:  SSE = 0.49995011816953644.
Epoch 240:  SSE = 0.4999465012930718.
Epoch 250:  SSE = 0.49994277039984636.
Epoch 260:  SSE = 0.49993891187336903.
Epoch 270:  SSE = 0.4999349113538698.
Epoch 280:  SSE = 0.49993075361460654.
Epoch 290:  SSE = 0.49992642242736834.
Epoch 300:  SSE = 0.4999219004150783.
Epoch 310:  SSE = 0.4999171688891285.
Epoch 320:  SSE = 0.49991220766874994.
Epoch 330:  SSE = 0.49990699487932444.
Epoch 340:  SSE = 0.4999015067260649.
Epoch 350:  SSE = 0.4998957172389096.
Epoch 360:  SSE = 0.49988959798378385.
Epoch 370:  SSE = 0.4998831177345397.
Epoch 380:  SSE = 0.49987624209887743.
Epoch 390:  SSE = 0.49986893309032515.
Epoch 400:  SSE = 0.4998611486368791.
Epoch 410:  SSE = 0.4998528420151043.
Epoch 420:  SSE = 0.49984396119631547.
Epoch 430:  SSE = 0.499834448088782.
Epoch 440:  SSE = 0.4998242376566338.
Epoch 450:  SSE = 0.4998132568921279.
Epoch 460:  SSE = 0.49980142361297336.
Epoch 470:  SSE = 0.4997886450502873.
Epoch 480:  SSE = 0.49977481618512853.
Epoch 490:  SSE = 0.4997598177820574.
Epoch 500:  SSE = 0.499743514056277.
Epoch 510:  SSE = 0.49972574989595697.
Epoch 520:  SSE = 0.4997063475424729.
Epoch 530:  SSE = 0.49968510260737.
Epoch 540:  SSE = 0.4996617792744125.
Epoch 550:  SSE = 0.4996361044961428.
Epoch 560:  SSE = 0.49960776094436776.
Epoch 570:  SSE = 0.4995763784094798.
Epoch 580:  SSE = 0.4995415232599233.
Epoch 590:  SSE = 0.4995026854642819.
Epoch 600:  SSE = 0.49945926253617906.
Epoch 610:  SSE = 0.49941053957530496.
Epoch 620:  SSE = 0.4993556643314478.
Epoch 630:  SSE = 0.4992936158921132.
Epoch 640:  SSE = 0.49922316516072895.
Epoch 650:  SSE = 0.4991428247144555.
Epoch 660:  SSE = 0.4990507848582479.
Epoch 670:  SSE = 0.49894483165805165.
Epoch 680:  SSE = 0.4988222413519122.
Epoch 690:  SSE = 0.49867964368723666.
